Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Commute,Activity Private Note,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,Type,Start Time,Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,Jump Count,Total Grit,Average Flow,Flagged,Average Elapsed Speed,Dirt Distance,Newly Explored Distance,Newly Explored Dirt Distance,Activity Count,Total Steps,Carbon Saved,Pool Length,Training Load,Intensity,Average Grade Adjusted Pace,Timer Time,Total Cycles,Recovery,With Pet,Competition,Long Run,For a Cause,Media
12663158868,"Oct 15, 2024, 4:34:18 PM",11k post oporto ☠️ 15.10.24,Run,,4026,11.84,,,false,,,activities/12663158868.gpx,,,4026.0,3526.0,11842.5,8.724,3.359,102.6,102.6,669.5,728.6,42.5,0.0,,,,,,,,,,,,,,,,,,5.0,,,,,0.0,63.0,0.0,,1.0,12005.7,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.942,321.0,,,,,,,,,3.405,,,,,,,,media/143ba7ac-31ff-46f3-a594-805617f7442b.jpg|media/770f4475-1bb0-4e69-b558-842cbd16bcfa.jpg
12686424360,"Oct 18, 2024, 4:34:34 PM",Evening Run,Run,"",1140,4.09,,,false,,,activities/13526071235.tcx.gz,,,1140.0,1136.0,4090.7,4.99,3.601,0.0,0.0,698.5,700.9,1.7,0.0,,,81.0,79.0,,,,,239.0,,,,,,,,,,,,,,0.0,,0.0,,1.0,4092.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.588,4090.7,,,,,,,,,3.602,,,,,,,,""
12698219521,"Oct 20, 2024, 7:03:48 AM",Carrera de la ciencia 10k 20.10.24,Run,Con [strava://athletes/70696374/13]Davide Mazzeo,2984,10.14,,,false,,,activities/13538792629.tcx.gz,,,2984.0,2984.0,10144.5,6.24,3.4,86.8,87.7,660.5,729.0,7.6,0.0,,,84.0,80.0,,,,,668.0,,,,,,,,,6.0,,,,,0.0,79.0,0.0,,1.0,10212.9,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.4,0.0,,,,,,,,,3.42,,,,,,,,""
12746215687,"Oct 26, 2024, 6:04:16 AM",Turismo por roma 26.10.24,Run,"",5686,13.93,,,false,,,activities/13590341077.tcx.gz,,,5686.0,5075.0,13935.6,10.818,2.746,167.3,167.3,16.6,86.7,40.6,0.0,,,84.0,80.0,,,,,976.0,,,,,,,,,,,,,,0.0,,0.0,,1.0,14352.2,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.451,2470.6,,,,,,,,,2.828,,,,,,,,media/0925ecf5-a1ce-49ff-a66f-b62528750c66.jpg|media/49daf9a2-7bf2-4f8b-a871-854b91cbd8af.jpg|media/015fa463-cb0f-46a7-8cd7-0401609fb9bd.jpg
12822860836,"Nov 4, 2024, 6:06:20 PM",9k 4.11.24,Run,Felicidades [strava://athletes/90742489/15]Rodrigo Vicente ,2730,9.00,,,false,,,activities/12822860836.gpx,,,2730.0,2520.0,9002.8,12.24,3.573,56.2,56.2,635.0,707.8,27.1,-0.7,,,,,,,,,,,,,,,,,,6.0,,,,,0.0,66.0,0.0,,1.0,9003.6,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.298,0.0,,,,,,,,,3.573,,,,,,,,""
12831808834,"Nov 5, 2024, 7:26:32 PM",Martes loco 5.11.24,Run,Trote con el compa [strava://athletes/90742489/15]Rodrigo Vicente ,1742,5.40,,,false,,,activities/13682569710.tcx.gz,,,1742.0,1692.0,5408.0,5.783,3.196,45.2,51.2,669.3,705.1,12.7,-0.1,,,84.0,80.0,,,,,335.0,,,,,,,,,,,,,,0.0,,0.0,,1.0,5470.4,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.104,1210.5,,,,,,,,,3.233,,,,,,,,""
12853679535,"Nov 8, 2024, 4:40:01 PM",10k #kmssolidarios 8.11.24,Run,[strava://athletes/90742489/15]Rodrigo Vicente ,3302,10.27,,,false,,,activities/13706052075.tcx.gz,,,3302.0,3028.0,10276.6,6.138,3.394,74.3,121.2,635.0,707.8,17.0,-0.4,,,85.0,81.0,,,,,619.0,,,,,,,,,6.0,,,,,0.0,79.0,0.0,,1.0,10321.6,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.112,251.6,,,,,,,,,3.409,,,,,,,,""
12865505344,"Nov 10, 2024, 8:15:28 AM",Derbi de las aficiones 10k 10.11.24,Run,[strava://athletes/133829504/14]Paula Llorente [strava://athletes/130618425/14]Maria Llorente ,3834,10.00,,,false,,,activities/13718814668.tcx.gz,,,3834.0,3834.0,9999.8,4.12,2.608,18.8,147.3,590.9,732.7,7.3,-1.3,,,83.0,78.0,,,,,832.0,,,,,,,,,2.0,,,,,0.0,18.0,0.0,,1.0,9789.5,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.608,0.0,,,,,,,,,2.547,,,,,,,,media/cac8bf25-4acc-400f-a3c0-5a12c3f95b43.jpg|media/9356c30c-2175-4da1-94fe-4a182a1bafab.jpg|media/9619e8fa-2358-43f7-a07e-70364162ed6c.jpg
12900841160,"Nov 14, 2024, 5:23:53 PM",10k 14.11.24,Run,"",3666,10.84,,,false,,,activities/13756741880.tcx.gz,,,3666.0,3214.0,10843.9,6.104,3.374,90.1,111.3,635.0,708.0,15.0,-0.2,,,85.0,80.0,,,,,634.0,,,,,,,,,,,,,,0.0,,0.0,,1.0,10969.6,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.958,29.7,,,,,,,,,3.413,,,,,,,,""
12932306319,"Nov 18, 2024, 7:00:17 PM",Rodaje 18.11.24,Run,Con [strava://athletes/90742489/15]Rodrigo Vicente ,4440,13.70,,,false,,,,,,4440.0,4440.0,13700.0,,3.086,,,,,,0.0,,,,,,,,,,,,,,,,,,2.0,,,,,0.0,20.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.086,0.0,,,,,,,,,,,,,,,,,""
